tick_lower,tick_upper,liquidity,our_liquidity,ext_liquidity,positions,our_positions,ext_positions,unique_owners,is_current_tick
283250,283300,879441087741846,879441087741846,0,1,1,0,1,False
283300,283350,879441087741846,879441087741846,0,1,1,0,1,False
283350,283400,879441087741846,879441087741846,0,1,1,0,1,False
283400,283450,879441087741846,879441087741846,0,1,1,0,1,False
283450,283500,879441087741846,879441087741846,0,1,1,0,1,False
283500,283550,879441087741846,879441087741846,0,1,1,0,1,False
283550,283600,879441087741846,879441087741846,0,1,1,0,1,False
283600,283650,879441087741846,879441087741846,0,1,1,0,1,False
283650,283700,879441087741846,879441087741846,0,1,1,0,1,False
283700,283750,879441087741846,879441087741846,0,1,1,0,1,False
283750,283800,879441087741846,879441087741846,0,1,1,0,1,False
283800,283850,879441087741846,879441087741846,0,1,1,0,1,False
283850,283900,879441087741846,879441087741846,0,1,1,0,1,False
283900,283950,879441087741846,879441087741846,0,1,1,0,1,False
283950,284000,879441087741846,879441087741846,0,1,1,0,1,False
284000,284050,879441087741846,879441087741846,0,1,1,0,1,False
284050,284100,879441087741846,879441087741846,0,1,1,0,1,False
284100,284150,879441087741846,879441087741846,0,1,1,0,1,False
284150,284200,879441087741846,879441087741846,0,1,1,0,1,False
284200,284250,879441087741846,879441087741846,0,1,1,0,1,False
284250,284300,879441087741846,879441087741846,0,1,1,0,1,False
284300,284350,879441087741846,879441087741846,0,1,1,0,1,False
284350,284400,879441087741846,879441087741846,0,1,1,0,1,False
284400,284450,879441087741846,879441087741846,0,1,1,0,1,False
284450,284500,879441087741846,879441087741846,0,1,1,0,1,False
284500,284550,879441087741846,879441087741846,0,1,1,0,1,False
284550,284600,879441087741846,879441087741846,0,1,1,0,1,False
284600,284650,879441087741846,879441087741846,0,1,1,0,1,False
284650,284700,879441087741846,879441087741846,0,1,1,0,1,False
284700,284750,879441087741846,879441087741846,0,1,1,0,1,False
284750,284800,879441087741846,879441087741846,0,1,1,0,1,False
284800,284850,879441087741846,879441087741846,0,1,1,0,1,False
284850,284900,879441087741846,879441087741846,0,1,1,0,1,False
284900,284950,879441087741846,879441087741846,0,1,1,0,1,False
284950,285000,879441087741846,879441087741846,0,1,1,0,1,False
285000,285050,879441087741846,879441087741846,0,1,1,0,1,False
285050,285100,879441087741846,879441087741846,0,1,1,0,1,False
285100,285150,879441087741846,879441087741846,0,1,1,0,1,False
285150,285200,879441087741846,879441087741846,0,1,1,0,1,False
285200,285250,879441087741846,879441087741846,0,1,1,0,1,False
285250,285300,879441087741846,879441087741846,0,1,1,0,1,False
285300,285350,879441087741846,879441087741846,0,1,1,0,1,False
285350,285400,879441087741846,879441087741846,0,1,1,0,1,False
285400,285450,879441087741846,879441087741846,0,1,1,0,1,False
285450,285500,879441087741846,879441087741846,0,1,1,0,1,False
285500,285550,879441087741846,879441087741846,0,1,1,0,1,False
285550,285600,879441087741846,879441087741846,0,1,1,0,1,False
285600,285650,879441087741846,879441087741846,0,1,1,0,1,False
285650,285700,879441087741846,879441087741846,0,1,1,0,1,False
285700,285750,879441087741846,879441087741846,0,1,1,0,1,False
285750,285800,879441087741846,879441087741846,0,1,1,0,1,False
